Company Name;Category;Address;City;Country;email;phone;fax;web;phone24;Ports;Company profile
MAG ENTERPRISES SHIP CHANDLER;Ship Supply;Office: F41, Okhai Colony, Qasim Shah Road,, Bhatta Village Muhala, Kachi Masjid, Faisal Coldring, West, Kemari;Karachi;Pakistan;ship.chandler@magenterprises.com.pk;"""03452110194""";"""No data""";https://magenterprises.com.pk/;"""No data""";No data;"Please find attached rate list / quotation, We MUHAMMAD AMAN GHORI ENTERPRISES (Ship Chandler) are present in the Ports of Pakistan, Karachi Port, and Port Qasim.
We are committed to provide and supply high grade quality of all kind of victualling stores in absolute hygienic environment to fulfill the needs and expectations of our valuable customers.
Our core business, supply of Ship Stores (Provision, Medicines, Medical Equipment, Deck, Engine, Cabin), Chemicals, Safety and Firefighting equipment, Gases, Cleaning equipment and ship candling.
Our large range of products and storage capabilities enable us to meet your food, beverage and on-board consumable needs with reactivity, efficiency and reliability.
Whether you have prompt delivery to be done, quotation or just inquiry - we provide all services in the shortest time span keeping quality our priority."
MAG ENTERPRISES SHIP CHANDLER;Ship Supply;Office: F41, Okhai Colony, Qasim Shah Road,, Bhatta Village Muhala, Kachi Masjid, Faisal Coldring, West, Kemari;Karachi;Pakistan;ship.chandler@magenterprises.com.pk;"""03452110194""";"""No data""";https://magenterprises.com.pk/;"""No data""";No data;"We MAG ENTERPRISES (Ship Chandler) are present in the Ports of Pakistan, Karachi Port, and Port Qasim.
We are committed to provide and supply high grade quality of all kind of victualling stores in absolute hygienic environment to fulfill the needs and expectations of our valuable customers.
Our core business, supply of Ship Stores (Provision, Medicines, Medical Equipment, Deck, Engine, Cabin), Chemicals, Safety and Firefighting equipment, Gases, Cleaning equipment and ship candling.
Our large range of products and storage capabilities enable us to meet your food, beverage and on-board consumable needs with reactivity, efficiency and reliability."
Oceania Marine Engineering Works;Ship Repair;boropul west side;Chittagong;Bangladesh;eng.rafi.omew@gmail.com;"""+8801835411252""";"""No data""";No data;"""+8801835411252""";"Mongla, 
Chittagong";"Routine Maintenance, Troubleshooting, and Repair of Engines.
Main and Auxiliary Engines Overhauling Including A/E Crankshaft Renewal.
Reconditioning of Fuel Pumps, Plungers, Barrels, Fuel Valves, and Injectors.
Air Conditioning & Refrigeration Repair, motor rewinding, electrical Panel defects, etc.
Turbocharger Service and Overhaul Including Rotor Dynamic Balancing Retrofit
Workshop fabrication, Reconditioning, Restoration of Machinery Components to Makerâ€™s Standard.
Underwater diving jobs like HULL/PROPELLER inspection, cleaning, and polishing.
Dry Docking, T/C Repair Insulation (Hot & Cold)
Anchor & Anchor Chain Supply & Installation
Crane & Grab repair and supply."
Oceania Marine Engineering Works;Ship Repair;boropul west side;Chittagong;Bangladesh;eng.rafi.omew@gmail.com;"""+8801835411252""";"""No data""";No data;"""24""";"Mongla, 
Chittagong";No data
Oceania Marine Engineering Works;Ship Repair;boropul west side;Chittagong;Bangladesh;eng.rafi.omew@gmail.com;"""+8801835411252""";"""No data""";No data;"""24""";"Mongla, 
Chittagong";No data
CDS SHIP CHANDLER;Ship Supply;douala cameroon;DOUALA;Cameroon;supply@cameroondivingservices.com;"""+237 671 083 030""";"""+237 233 478 787""";https://www.cmrshipchandling.com/;"""+237 233 478 787""";"Limbe Terminal, 
Douala, 
Kome Kribi 1 Marine Terminal, 
Limbe, 
Tiko, 
Kribi";"CDS SHIP CHANDLER
CDS SHIP CHANDLER is an IMPA & ISSA and SHIPSERV registered company  as general ship supplier, serving vessels calling Cameroon ports  and transiting Cameroon. We are a Cameroonian based ship Chandling Company, giving you the most complete ship supply services you may demand: a reliable, efficient and superior service
We are present in the ports of Douala, Limbe and Kribi Cameroon. Our core business: supply of ship stores and ship chandling in Cameroon.
Our customer base comprises of ships calling at ports or oil drilling rigs or FPU/FPSO exploration rigs, housing barges and in general any offshore equipment operating in Cameroon territorial waters. Our large range of products and storage capabilities enable us to meet your food, beverage and onboard consumable needs with reactivity, efficiency and reliability.
CDS Ship Chandlers since Creation
CMR CDS Ship Chandler was established as part of the Services of Cameroon Diving Services Ltd, with a previously accumulated experience for many years in the field of Ship Chandling and Marine Services.
We have extensive experience in Ship Chandler service, we offer very high quality products and our prices are always competitive. But what really sets CDS SHIP CHANDLER is that for us everything matters. Our goal is to solve your problem, whatever it is. Just contact us at any time, we immediately take responsibility and start working to deliver the best solution."
Poseidon Maritime Services Ltd;Ship Supply;No.23 Circular Road, Poseidon House, Cantonments Accra-Ghana;Accra;Ghana;ops@pmsshipspares.com;"""+233 (0) 203177277""";"""No data""";http://www.pmsshipspares.com/;"""+233 (0) 203177277""";"Dakar, 
Takoradi, 
Tema, 
Lome, 
Cotonou, 
Lagos, 
Port Harcourt, 
Lekki (Tolaram Port)";"Need a Critical Ship Spares Delivery Services in West Africa?
With Offices in 5 West African countries supporting our non-stop operations in 8 port locations, you can be assured that we have the local knowledge and industry expertise to find the best solution to cater for your Marine Spares Onboard Delivery needs.
We are a competitive, quality, service-minded Port Agents and Ship Spares logistics partner capable of providing high and efficient service levels to our customers in a time-crucial environment.
Poseidon Maritime Services Ltd (PMS) counts on its own 24/7/365 Ship Spares delivery department, which allows us to ensure effective coordination of spares deliveries."
ISACOL S.A.S. Ship Agents in Colombia;Ship Agent, Port Agent;Bocagrande, Carrera 3 #6A-100, Torre Empresarial, Of 1001;Cartagena;Colombia;isacol@isacol.com;"""+576056655100""";"""+576056655569""";https://www.isacol.com/;"""No data""";"Covenas (Covenas Offshore), 
Covenas Offshore Terminal, 
Cartagena, 
Barranquilla, 
Pozos Colorados, 
Santa Marta, 
Puerto BolÃ­var, 
Puerto BolÃ­var, 
Tumaco, 
Buenaventura, 
TolÃº";"Ship Agents in Colombia. With more than 40 years of experience in Colombia's ports, ISACOL is the country's leading agent for tanker ships.

Our Services:

Ship Agents
Protective Agents
Husbandry
Consultancy"
INTERNATIONAL MARITIME LAWYERS NETWORK;Maritime Law;03 EPERNAY;TUNIS;Tunisia;JURISLINESMARITIMES@GMAIL.COM;"""+216 20 843 134""";"""+216 71 321 124""";No data;"""0021620843134""";No data;No data
INTERNATIONAL MARITIME LAWYERS NETWORK;Maritime Law;03 EPERNAY;TUNIS;Tunisia;JURISLINESMARITIMES@GMAIL.COM;"""+216 20 843 134""";"""+216 71 321 124""";No data;"""0021620843134""";No data;No data
Sea Light Marine Service;Ship Supply;Airport road, 5 no Gate, Bondor (4100), Chittagong, Bangladesh.;Chittagong;Bangladesh;sealightmarinebd@gmail.com;"""+8801715 100 803""";"""No data""";https://sealightmarineservice.com/;"""+8801715 100 803""";"Mongla, 
Chittagong";"Provisions, Cabin, Bonded Stores, Deck, Engine, Electrical & Electronics Stores; Medical & Stationary Stores; Fire Fighting & Life Saving Apparatus Maintenance; Pyrotechnics, Mooring Ropes, Cable Wires, Marine Paints, All Kind of Gas Cylinders & Marine Chemicals Suppliers.

Thanks & Regards
ASHRAFUL OPU || MANAGER"
SIREN MARITIME AGENCY;Ship Agent, Port Agent;13 RUE 20 MARS;bizerte;Tunisia;SIREN@PLANET.TN;"""+21672431480""";"""+21672422340""";No data;"""+21629542635""";"Zarzis, 
GabÃ¨s, 
Mersa Sfax, 
Sousse, 
Tunis, 
Bizerte, 
Menzel Bourguiba";"Siren Maritime Agency, a maritime agency, deals with maritime transport and ship consignment, created in 1998 in order to meet the requirements of Tunisian importers and exporters in terms of maritime transport, logistics and activities.
Marine service is our core business since the creation of the company, Our teams are trained to treat all types of vessels ranging from but not limited to dry bulk vessels, tankers, LPGs / LNGs, cruise ships, RoRos, containers ships, Multipurpose vessels, bargesâ€¦"
SÄ°YAH Ä°NCÄ° SHÄ°P AGENCY & LASHÄ°NG & SUPPLY COMPANY LTD.;Ship Agent, Port Agent;ATATÃœRK ST NO:398 KONAK / Ä°ZMÄ°R;Ä°ZMÄ°R;Turkey;siyahincidenizcilik@gmail.com;"""+902324414166""";"""+90 555 496 20 40""";https://www.siyahincigemikiralama.com/;"""+90 555 496 20 40""";"Aliaga, 
Gemlik, 
Tekirdag, 
Istanbul, 
Evyap, 
Bandirma, 
Ã‡anakkale, 
Dikili, 
Ä°zmir, 
GÃ¼llÃ¼k, 
Kusadasi, 
Mersin";"Siyah Ä°nci by our intensively experienced professional management and staff, we are providing agency services in all Turkish ports especially Izmir and AliaÄŸa ports, Gemlik ports, GÃ¼llÃ¼k ports also at Bosphorus / Dardanelles Strait passages to all types of vessel.


Siyah inci ship agent company Ä°s providing agency services due to the intensive global relations of today. We now intend to expand our existing agency work and offer our clients high-quality services for the most competitive prices in the market. Through our head office in IZMÄ°R, our support services are available for all ports in SÄ°yah Ä°nci agency deparment can obtain several services like provision/spare parts/fresh water/lub oil/bunkers/safety equipments on 7 days 24 hours basis. We are providing these services under the Shipping Agency License that has been obtained from Turkish Ministry of Transportation. Furthermore, Authorized by Turkish Ministry of Transportation as well.

Siyah Ä°nci ship services that we are providing under our ship agency department are:
â€¢ Charters Agency

â€¢ Owner â€™ s Agency

â€¢ Protective Agency

â€¢ Turkish straits agency service.




SÄ°yah Ä°nci Agency Our services:


* Ship arrival and departure control procedures


* Ship personnel replacement procedures.


* Crew welcoming and accommodation services

* Ship tracking procedures.


* Ship berthing - lifting operations.


* Ports, health operations and light house payments, documentation procedures


* To ensure that the certificates that need to be renewed are renewed in time with the lowest cost.


* To provide garbage, solid / liquid waste services on time in the direction of the captain request.


* Ensuring the delivery of the captain's advances safely in the shortest time possible


* Providing 24/7 surveillance services for evacuation and loading operations on behalf of ship owner / operator.


* Fuel, oil, food, drinking water, etc. timely supply of ship needs.


* To provide the crew medical services meticulously



* To carry out customs clearance and deliveries of spare parts safely and economically.

* We perform our operations as a shipping agent, shipping agent and preventive agent in a timely manner.



*Do not make decisions without informing us.


SÄ°YAH Ä°NCÄ° SHIPPING AND TRANSPORTATION TRADE COMPANY

OFFICES All TURKEY PORTS & ISTANBUL & GEMLÄ°K &GÃœLLÃœK & IZMIR & NEMRUT BAY AND ALL BAY IZMIT PORTS.

AGENT & BROKER & SHIP SUPPLIER & REPAIR CO. & FORWARDERS

******************************

adress 1: 1315 STREET NO: 20 FLOOR: 6/601 KONAK-IZMIR/TURKEY

adress2:Alsancak, AtatÃ¼rk st. n:398 f:5 /510, 35220 Konak/Ä°zmir

PH : + 90 232 441 41 66

MOB : + 90 555 496 20 40 (WHATSAPP OPEN )"
Nautical Providers;Ship Supply;Lotes Y Servicios;Lazaro Cardenas;Mexico;admin@nauticalproviders.com;"""+523318004316""";"""No data""";https://www.nauticalproviders.com/;"""+523318004316""";LÃ¡zaro CÃ¡rdenas;The company Nautical Providers, S.A. de C.V. is a company founded with the purpose of offering provisions, emergency rations, supplies, and crew transportation services to ships that arrive within the Port of LÃ¡zaro CÃ¡rdenas, in terminals, and on docked ships.
Bupa's Marketer;Ship Supply;Jalisco 124;Veracruz;Mexico;hello@bupasmarketer.com;"""+526631054027""";"""No data""";https://bupasmarketer.com/;"""+52 6631054027""";No data;"Company based on the commercialization, logistics and supply requirements for offshore marine transportation in mexican and international ports (America/Europe/Asia/Africa) through our commercial partners (MarineSuppliers)worldwide.
We are Ship Suppliers specialists with a broad variety of products of the best quality, provided directly to you. BupaÂ´s Marine Ship Supplier is a company based in Mexico operating since 2017 and conveniently located at both Gulf of Mexico and Pacific areas of this country. We take care of your orders in a fast and efficient way offering you priority at your satisfaction, in a way your shipâ€™s crew can enjoy excelent quality products. Our commitment is to satisfy your needs providing you high quality products and reliable services at affordable prices and outstanding response time. We are delighted to have the opportunity to work for you by supplying crew's food, maintenance supplies, cleaning compounds, laundry services, bonded store, provisions, deck store and a wide variety of services. The products we supply are of the highest quality and comply with international standards. Whatever you may need we can provide it to you."
Atlantys Superyachts Services - ETE Group;Tourism;Rua Cintura do Porto de Lisboa, Galeria do EdifÃ­cio GonÃ§alves Zarco No. 13;Lisbon;Portugal;atlantys@atlantys.com.pt;"""211128268""";"""No data""";https://atlantys.eu/;"""No data""";No data;"Specialists in yacht agency services, Atlantys provides a bespoke and stress-free experience in the Mid-Atlantic, based on its vast expertise in the yachting industry and local knowledge. With own offices based in Mainland Portugal, Azores, Madeira and Cape Verde, Atlantys ensures a full range of customized services â€“ logistics, concierge, and agency support - with 24/7 assistance. Part of GRUPO ETE - one of the most recognized players in the logistics and maritime sector with over 85 years of experience â€“with Atlantys you will benefit from a solid structure, knowledge, and logistical resources.

The key to the success of Atlantys' services lies in its proximity to clients, understanding each of their requirements, and working through the true values of partnership that are rooted in its culture, supported by a highly professional team inspired by the Atlantys core values: ethical behaviour, integrity, accountability, and a passion for exceeding clientâ€™s expectations."
PETROASIA SHIPPING CO.;Ship Operator/Management;U201, NO.5, 19TH BOKHAREST, ARGENTINA SQ.;TEHRAN;Iran;mojtaba@petroasia.net;"""+989363265795""";"""+9888542078""";http://www.petroasia.net/;"""00989363265795""";"Anzali Port, 
Amirabad Port, 
Qeshm, 
Bandar Khomeini, 
Kharg Island Oil Terminal, 
Bushehr, 
Bandar Abbas, 
Chah Bahar";"Convincing negotiation skills combined with a superior knowledge of Shipping business allows our clients to benefit from our consultancy services.

Chartering, Ship Management, Full Agency, Vessel Surveying, Dry Dock"
"LLC ""VLADIMIRO-ALEXANDROVSKY SEA TERMINAL""";Ship Owner;VLADIMIRO-ALEXANDROVSKOE VILLAGE, R. ZORGE STREET, HOUSE 29, OFFICE 5.;PRIMORSKY KRAI;Russia;shipping@vamteminal.ru;"""+79169432060""";"""+79169432060""";https://vamteminal.ru/index.html;"""No data""";"Novorossiysk, 
Vladivostok";No data
8nauticalmarine;Ship Repair;#48/1 Thiyagarayapuram 2nd Street, Thangal, Thiruvottiyur,;Chennai;India;8nauticalmarine@gmail.com;"""+9193814 12345""";"""No data""";https://8nauticalmarine.com/;"""No data""";"Tuticorin, 
Chennai (Madras), 
Ennore";"Eight nautical marine services is a well established engineering organization in Chennai, we have a strong base towards marine and offshore industry with a competent team of highly skilled professional engineers, technicians and craftsmen in each respective field.
We provide global ship repair and offshore services focusing on structural fabrication, module fabrication, piping systems, mechanical equipment installation, overhauling and commissioning."
Assignments For Business;Other;94 Holly Bush Ln;London;United Kingdom;info@assignmentace.co.uk;"""+44 121 318 2822""";"""No data""";https://www.assignmentace.co.uk/;"""No data""";No data;Easy to get all types of business assignment writing projects at a very good price. We are here for providing the best writing services. We have professional and talented writers that always ready to write an assignment. So, those peoples and students want to get online help in writing work now they must come us and hire get writing help with us.
BEST SHIPPING SERVICES;Ship Supply;16no,chiness Ghat,Naval Road,Patanga,chittagong Bangladesh.;Chittagong;Bangladesh;bssctgbd@gmail.com;"""01715176211""";"""No data""";No data;"""01715176211""";No data;"Dear Sir,
GOOD DAY!
Warm welcome for Your good Vessel at Chittagong port & Mongla port Bangladesh.
We are great pleasures to introduce
ourselves, we are Chittagong port/Customs approved leading Ship supplier in Bangladesh. We provide Ship Chandelier, repair and supply all kinds of Marine spare parts. for any type of vessels taking in to account competitive, reasonable and cost -effective budget to be Smooth Service during your vessels stay in Chittagong / Mongla port in Bangladesh.
We Supply Quality products in a wide range of categories Such As: -
ï‚§ Ship Repairing & Motor Rewinding (Our Workshop M.M.D & G.L. Approved).
ï‚§ Inspections & surveys job by LLOYDS, NKK, GL, DNV & RINA Approved.
ï‚§ Marine Supply - Deck Stores, Engine, Cabin & Stationery Supplies.
ï‚§ All kinds of Spare Parts for M/E, A/E, Turbo Charger, Motors.
ï‚§ Provisions - Fresh and frozen food, fruits, fish, vegetables.
ï‚§ Gyro Compass, Auto pilot, Radar & Navigation Items.
ï‚§ Marine Publications, Charts (British Admiralty).
ï‚§ Discharging Sludge Oil & Garbage cleaning.
ï‚§ Marine Chemicals and Lubricants Supply.
ï‚§ Tank Cleaning, Chipping & Painting job.
ï‚§ Bunker Supply (MGO, F.O. & Lube Oil).
ï‚§ Purchasing Rejected Goods Contractor.
ï‚§ Safety Items Supply (LSA & FFA).
ï‚§ Owner protecting agency service.
ï‚§ Under Water & Diving Services.
We look forward to a Valued Cooperation and Assure you of our Service with Quality at all Times.
Given the Opportunity, we are Confident of being Able to provide a high degree of Satisfaction for a long and mutually Fruitful Business Partnership.
Sincerely yours,
Thanks & Best regard's,
MOINUDDIN JONY || MANAGER
BEST SHIPPING SERVICES . (Reliable One Stop Marine Service)
CELL â€“ +880 1715 176211, 01759154438 (WhatsApp)
Email: bssctgbd@gmail.com
Office: 16no,chiness Ghat,Naval Road,Patanga,chittagong Bangladesh."
Marine Solution BD;Consulting Engineers;Agrabad Access Rd;Chattogram;Bangladesh;info@marinesolutionbd.com;"""+8801839515151""";"""No data""";https://marinesolutionbd.com/;"""+8801839515151""";No data;"Offshore Marine
Industrial Engineering
Dredging
Project Cargo Handling
Surveys & Inspections
Ship Chandler
Workshop & Repair
Technical Consultancy
S&P Brokerage
Ship Chartering"
societe Generale Maritime GEMA Spa;Ship Agent, Port Agent;citÃ© benimhaffeur-zaafrania sup;Annaba;Algeria;gema-annaba@gema-group.com;"""+213 770 919 668/9""";"""+213 38 583 286""";https://www.gema-group.com/;"""24/24h -7days/7""";Annaba;"GENERALE MARITIME abbreviated ""GEMAâ€œ is a state shipping company involved in port and shipping agency services.
GEMA is the result of restructuring the Algerian company CNAN in 1987 (Algerian Shipowner), it adopted all the auxilary activities : shipping agencies, forwarding and ship supplyâ€¦etc.
We pledge to dedicate all our resources to attain total satisfaction and retention of our valued customers.
Services:
Port Agency services to all types of vessels.
Customs clearance support.
Crew change/assistance services.
Shipchandler services.
Sea Freight
GEMA was granted the Quality Certification under the referential NP EN ISO 9001:2015 by SGS, the certification entity
The certification leaded to an intense redesign of business procedures and identification of improvement opportunities, as well as helped on the harmonization of working methods across all our offices
Further, a new focus on the client was achieved due to the involvement and dedication of all staff, who seriously adopted the Quality practices and Quality mentality
The certification therefore guarantees an high level of quality provided to our clients"
AFRILIGHT LOGISTICS AND TRANSPORT SA;Ship Supply;Akwa - 124 Rue du Drui;DOUALA;Cameroon;nadine.ebouele@afrilight-sa.com;"""+237699072662""";"""No data""";https://www.afrilight-sa.com/;"""No data""";No data;"AFRILIGHT LOGISTICS AND TRANSPORT SA is a company incorporated under Cameroonian law approved by the Cameroonian State and the ports of Cameroon (Douala, Kribi) to carry out the activities of consignment of ships standby jobs, shipchandler, logistics and road transport, labor placement. Docker work and qualified handling personnel.
Our ambition is to streamline and secure shipping, road transport and handling standby jobs and trade flows on the African continent for both import and export operations.
we execute all types of services to ships (tertiary electricity, industrial electricity, maintenance and repair of heat engines, welding and assembly work, etc., refueling of ships)
A new fleet of truck vehicles for the land transport of goods"
S R Marin Traders;Ship Supply;08,Kazi Super Market;Chattogram;Bangladesh;salehatsaleh776@gmail.com;"""+8801817749386""";"""No data""";No data;"""+8801817749386""";No data;"Ships Supply Services; Provisions, Technical, Spare Parts And Stores. (IMPA & ISSA standard)
â—‰ Owners and Charterers Protective Services
â—‰ Delivery Of Crew Mail & Courier Packages
â—‰ Bunker, Fuels, Lubricants And Fresh Water Supply
â—‰ Crew Changes, Hotel Accommodations, Shore Pass Arrangements Etc.
â—‰ Crew Welfareâ€“Doctor, Dentist, eMail, Internet, Mobile Prepaid Cards
â—‰ Underwater Inspection At Anchorage
â—‰ Follow-Up Activities With Workshops, Contractors Etc.
â—‰ Ship Spare Parts Clearance And Delivery â—‰ Cash To Master Deliveries
â—‰ Inward & Outward Clearance â—‰ Liaison With Local Authorities
â—‰ Supervision Services â—‰ Communication Assistance
â—‰ Tug and Barge Arrangements â—‰ Motor Boat Services.
Service #Port @Chittagong @Mongla @Payra"
Southern Cross Marine Services Group;Ship Supply;165 Esseln Circuit;Sydenham;South Africa;mail@southerncrossgroup.co.za;"""+27414505521""";"""No data""";http://www.southerncrossgroup.co.za/;"""No data""";"Port Elizabeth, 
Ngqura (Coega)";No data
Sibir Invest;Bunker;Obala Kralja Petra bb;Veliko Gradiste;Serbia;mihajlo.glisic@sibir-invest.rs;"""+381 69 2216691""";"""+381 12 661 231""";http://www.sibir-invest.rs/;"""No data""";No data;"Company Sibir-Invest d.o.o. is established in 2015 and since then it is active in oil derivative trade at domestic and international market.
Since 2019 we perform bunkering activity for Serbian and foreign ships travelling on Serbian waterways.
Recently, we opened new bunkering station in customs zone Veliko GradiÅ¡te at 1059 km of Danube river. We can supply all ships, excise tax and VAT free!
Our modern bunkering station has a capacity of 1190 tons and guarantees reliable fuel supply. We provide reliable stock levels and fast service without delays. We are open 24/7 and we are available for the support to our clients at any time over the phone or e-mail.
Our bunkering station is environment friendly. It is equipped with modern floating membrane and skimmer for collection of spilled fuel.
Bunkering fuel is sourced directly from EU refineries and produced according to the European EN 590 standard. For our clients we provide quality certificates from the refinery as well as from certified and accredited independent laboratory.
According to Serbian legislation, transit ships can bunker fuel at lower price, without excise tax and VAT.
Also, we provide vast variety of lubricants which are needed for ship maintenance(offer wil be send on your request).
Our flexible business policy aims to develop long-lasting and friendly relationship with our clients. Therefore, feel welcome to start cooperation with us an use our services.
For all additional information and actual price list, please contact us via e-mail or directly by phone or be kind and share it to colegues involved in fuel procurement process and to your partners."
Sameh Marine Shipping Agencies;Ship Supply;44st naser - suez;Suez;Egypt;operations@samehmarine.com;"""01033333278""";"""No data""";http://samehmarine.com/;"""01033333278""";"Port Said, 
El Iskandariya (Alexandria), 
Safaga, 
Ras Gharib, 
Suez";"Sameh Marine Shipping Agencies Offering the most comprehensive range of services tailored to your vessel's needs, our expert team is trained to focus on your requirements & understanding the importance of supplying the right item at the right time at the right price.

We supply all technical stores, Deck, Engine, Spare parts, Cabin, Chemical, Safety & Rescue equipments, repair & underwater works, spare parts forwarding and custom clearance. Suez Canal transit & agency services.

For over 35 years Sameh Marine Shipping Agencies, has been serving in Suez , General ship supplier and Suez Canal transit agent, serving vessels calling Suez or transiting Suez Canal.

Today our three Tax Free warehouses, modern transportation fleet and advanced managements, makes our dream true.

Sameh Marine Shipping Agencies offers a wide range of shipping and logistic services. We are involved in chartering, port agency, liner agency, Suez Canal transit agency and freight forwarding Click here to download the latest version of the Suez Canal rules of Navigations.
We operate 24 hours a day, 7 days a week, 365 days per year and can be contacted via telephone, fax, email, skype or via our webpage www.samehmarine.com"
Atlantic Ship Care;Ship Repair;Chowdhury Complex (Graound Floor) 3No. Fokir Hat Bandar, Chittagong Bangladesh.;Chittagong;Bangladesh;all-service@atlanticshipcare.com;"""+8801744597522""";"""No data""";https://www.atlanticshipcare.com/;"""+8801744597522""";"Mongla, 
Chittagong";"We ""Atlantic Ship Care"" Provides Professional Husbandry Services For Vessels.
â—‰ Ships Supply Services; Provisions, Technical, Spare Parts And Stores. (IMPA & ISSA standard)
â—‰ Owners and Charterers Protective Services
â—‰ Delivery Of Crew Mail & Courier Packages
â—‰ Bunker, Fuels, Lubricants And Fresh Water Supply
â—‰ Crew Changes, Hotel Accommodations, Shore Pass Arrangements Etc.
â—‰ Crew Welfareâ€“Doctor, Dentist, eMail, Internet, Mobile Prepaid Cards
â—‰ Underwater Inspection At Anchorage
â—‰ Follow-Up Activities With Workshops, Contractors Etc.
â—‰ Ship Spare Parts Clearance And Delivery â—‰ Cash To Master Deliveries
â—‰ Inward & Outward Clearance â—‰ Liaison With Local Authorities
â—‰ Supervision Services â—‰ Communication Assistance
â—‰ Tug and Barge Arrangements â—‰ Motor Boat Services.
Service #Port @Chittagong @Mongla @Payra"
